Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf,C_0603_1608Metric,139.75,-117.8,-90.0,bottom
C2,10uf,C_0603_1608Metric,129.5,-103.05,180.0,bottom
C3,0.1uf,C_0402_1005Metric,134.55,-110.8,0.0,top
C4,10uf,C_0603_1608Metric,139.75,-114.8,90.0,bottom
C5,0.1uf,C_0402_1005Metric,126.9375,-103.85,180.0,top
C6,0.1uf,C_0402_1005Metric,134.55,-105.6,0.0,top
C7,TBD,C_0402_1005Metric,131.95,-103.55,-90.0,top
C8,TBD,C_0402_1005Metric,134.65,-103.55,-90.0,top
C9,10pf,C_0402_1005Metric,136.4,-105.6,0.0,top
C10,1uf,C_0402_1005Metric,125.9,-113.05,180.0,top
C11,10pf,C_0402_1005Metric,136.4,-110.8,0.0,top
C12,10pf,C_0402_1005Metric,123.35,-109.0,-90.0,bottom
C13,1uf,C_0402_1005Metric,124.7,-112.1,0.0,bottom
C14,1uf,C_0402_1005Metric,124.7,-111.25,0.0,bottom
C15,1uf,C_0402_1005Metric,124.7,-109.45,0.0,bottom
C16,1uf,C_0402_1005Metric,124.7,-108.55,0.0,bottom
C17,2.2uf,C_0402_1005Metric,121.9,-106.3,180.0,top
C18,1uf,C_0402_1005Metric,127.9,-113.98,0.0,bottom
C19,2.2uf,C_0402_1005Metric,129.7,-113.98,180.0,bottom
C20,2.2uf,C_0402_1005Metric,129.5,-106.8,0.0,bottom
C21,2.2uf,C_0402_1005Metric,131.5,-113.98,180.0,bottom
C22,2.2uf,C_0402_1005Metric,133.090476,-116.61,-90.0,bottom
C23,2.2uf,C_0402_1005Metric,133.1,-114.2,90.0,bottom
C24,1uf,C_0402_1005Metric,136.1,-118.9,180.0,bottom
C25,1uf,C_0402_1005Metric,129.81,-102.89,0.0,top
C26,0.1uf,C_0402_1005Metric,129.82,-103.6,0.0,top
J1,TFT_LCD,TE_0-1734839-8_1x08-1MP_P0.5mm_Horizontal,128.9,-117.5,180.0,top
J2,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,143.0,-108.25,90.0,top
L1,TBD,L_0402_1005Metric,133.3,-103.1,0.0,top
MK1,Microphone_MEMS,MEMS_MIC_2.75x1.85x0.9mm,121.3771,-109.2074,0.0,top
R1,10k,R_0402_1005Metric,126.9375,-102.95,0.0,top
R2,5.1k,R_0402_1005Metric,141.05,-109.5,0.0,bottom
R3,5.1k,R_0402_1005Metric,141.05,-106.55,0.0,bottom
R4,0Ω,R_0402_1005Metric,124.7,-110.35,180.0,bottom
U1,AMS1117-3.3,SOT-223-3_TabPin2,138.9,-116.6,0.0,top
U2,ESP32-S3,QFN-56-1EP_7x7mm_P0.4mm_EP5.6x5.6mm,128.6,-108.7,-90.0,top
U3,WM8978,QFN-32-1EP_5x5mm_P0.5mm_EP3.3x3.3mm,129.25,-110.4,0.0,bottom
U4,MPU-6050,InvenSense_QFN-24_4x4mm_P0.5mm,136.25,-115.8,180.0,bottom
Y1,40MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,135.3,-108.2,-90.0,top
